X,Y,Angle
39.0596,-29.4835,-2.7091
33.9852,-22.0246,0.8261
0.3355,40.0688,-2.7440
-21.9406,34.2256,1.5909
-26.9407,-34.1794,-2.0570
39.5145,-0.3111,-2.9360
-30.9792,6.4822,3.0016
3.7515,-10.7980,-2.2717
-22.3832,-35.1629,2.9511
0.0711,7.8617,-2.2626
28.5372,10.2582,-3.1282
-39.7813,-27.8394,-2.9128
5.1501,14.5984,-0.5237
-22.1598,36.8667,-0.3665
-36.9725,-25.4299,1.7687
-14.7052,38.1045,2.7620
36.4059,-36.5883,2.0716
-31.6643,27.9338,0.2549
3.7491,-37.1198,1.1029
-23.5991,20.8651,1.5098
38.4903,-11.4153,1.3205
24.9374,-3.0589,0.0546
38.7139,-31.6243,-0.2331
39.4637,-21.3437,2.9555
21.7587,-7.5512,1.5097
35.8421,40.7808,-2.7595
